3,3020
2,3026
10,3024
1,3027
7,3022
6,3030
5,3034
4,3028
9,3031
8,3029
11,3032
19,3620
17,3035
18,3440
15,3036
16,3025
13,3033
14,3023
12,3021
20,3650
21,3651
22,3652
23,3653
24,3654
25,3655
26,3640
27,3641
30,3644
32,3646
31,3645
35,3649
36,3656
33,3647
34,3648
28,3642
29,3643
37,2888
43,2894
44,2895
42,2893
41,2892
40,2891
39,2890
38,2889
45,3008
49,3012
48,3011
47,3010
46,3009
51,3014
52,3015
50,3013
59,3546
58,3545
57,3544
56,3543
55,3542
64,3551
65,3552
53,3540
62,3549
54,3541
63,3550
60,3547
61,3548
67,3554
66,3553
69,3556
68,3555
70,3557
71,3558
72,3559
73,3560
74,3561
79,3584
78,3583
95,3600
77,3582
94,3599
93,3598
92,3597
91,3596
90,3595
82,3587
83,3588
80,3585
81,3586
86,3591
87,3592
88,3593
75,3580
84,3589
89,3594
76,3581
85,3590
98,3603
97,3602
96,3601
104,3609
103,3608
102,3607
99,3604
101,3606
100,3605
138,2880
137,3640
139,3642
140,2875
142,2881
141,2878
